Experiment ID,Timestamp,Model Name,Provider Type,Category,Garment Name,Measured Duration (sec),Measured Duration (ms),Unit Cost (INR),Cost Type,Cost Calculation Basis,Meets Time Req (<15s),Meets Cost Req (<Rs 4),Is Evaluated,Fit Score (0-4),Drape Score (0-4),Texture Score (0-4),Pose Preservation (0-4),Body Preservation (0-4),Face Preservation (0-4),Artifact Score (0-4),Overall Score (0-4),Is Optimized,Optimization Technique,Evaluator Notes
07afd720-989b-43ad-a43f-6ea27b91398f,2026-09-04T15:52:27.742088,Local Baseline (CPU Pipeline),Local Pipeline,Trousers,Pleated Charcoal Wool Trousers,0.205,205.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.6,3.5,3.8,3.9,3.7,3.9,3.5,3.7,NO,,Tailored double pleats align naturally with leg contours.
e2b325cb-89a6-46b3-a63c-19552087e9ef,2026-09-04T15:52:27.484623,Local Baseline (CPU Pipeline),Local Pipeline,Jeans,Straight-Fit Selvedge Denim Jeans,0.183,183.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.5,3.4,3.8,3.9,3.7,3.9,3.5,3.67,NO,,"Clean lower-body leg alignment, preserved waistband and vintage denim wash."
5b886f86-ff02-4367-b823-b81bb2a98bcb,2026-09-04T15:52:27.237763,Local Baseline (CPU Pipeline),Local Pipeline,Shirt,Champagne Silk Cuban Collar Shirt,0.169,169.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.7,3.6,3.8,3.9,3.8,3.9,3.6,3.76,NO,,Cuban collar align precisely with collarbones; natural fabric texture.
85e2f9de-9a13-46b3-b652-b4ef2741ccab,2026-09-04T15:52:26.985288,Local Baseline (CPU Pipeline),Local Pipeline,Coat,Double-Breasted Wool Overcoat,0.181,181.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.7,3.6,3.8,3.9,3.8,3.9,3.6,3.76,NO,,Structured shoulders and collar drape fit male model posture accurately.
5479e13e-ae8e-455f-8779-a72ff79a5421,2026-09-04T15:52:26.743405,Local Baseline (CPU Pipeline),Local Pipeline,Jumpsuit,Structured Tailored Jumpsuit,0.172,172.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.2,3.0,3.7,3.8,3.4,3.9,3.0,3.43,NO,,Full-body one-piece garment fits torso well; waist-to-leg transition is clean.
ee7225f6-6852-4b68-a8b1-acaa0f23d5af,2026-09-04T15:52:26.499372,Local Baseline (CPU Pipeline),Local Pipeline,T-shirt,Heavyweight Boxy Graphic T-shirt,0.175,175.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.8,3.7,3.9,3.9,3.8,3.9,3.7,3.81,NO,,Excellent crewneck alignment and sleeve boundary harmonization.
70ab19cc-86ee-42d7-ab47-86239176065b,2026-09-04T15:52:26.256557,Local Baseline (CPU Pipeline),Local Pipeline,Top,Silk Wrap Top,0.169,169.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.6,3.5,3.8,3.9,3.7,3.9,3.5,3.7,NO,,"Clean torso fit, realistic wrap-top neckline preservation, zero facial distortion."
6e9e1f48-8851-4903-80e9-3cfa1a21a070,2026-09-04T15:52:26.046646,Local Baseline (CPU Pipeline),Local Pipeline,Lehenga,Emerald Embroidered Velvet Lehenga,0.172,172.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,2.6,2.2,3.6,3.8,3.0,3.9,2.2,3.04,NO,,Choli bodice fits cleanly; wide flared skirt boundary requires 3D mesh deformation.
6512cf8e-233c-4c2d-826b-2466040c1d20,2026-09-04T15:52:25.824095,Local Baseline (CPU Pipeline),Local Pipeline,Kurti,Ivory Chikankari Embroidered Kurti,0.172,172.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,3.0,2.8,3.8,3.8,3.2,3.9,2.8,3.33,NO,,Good shoulder and neckline alignment. Side slits and knee-length hem show slight flattening.
aa66c57d-f6bc-4060-848b-fc10b6c5a913,2026-09-04T15:52:25.583993,Local Baseline (CPU Pipeline),Local Pipeline,Saree,Royal Crimson Banarasi Silk Saree,0.278,278.0,0.0,Actual,Local CPU compute (Zero cost),YES,YES,YES,2.5,2.0,3.5,3.8,3.0,3.9,2.0,2.96,NO,,Upper drape aligned; continuous diagonal pallu across shoulder exhibits 2D planar boundary clipping.
